"AT","AP","AH","AFDP","GTEP","TIT","TAT","TEY","CDP","CO","NOX"
14.332,1011,89.517,3.6937,25.053,1080.4,549.93,134.71,12,1.6019,66.682
30.255,1015.8,51.389,3.9693,26.148,1094.7,550.11,133.79,12.27,0.29071,64.095
27.794,1007.6,80,4.2792,26.227,1093.7,550.04,134.87,12.307,0.88529,56.656
18.889,1007,92.631,3.6828,23.607,1071.4,549.92,126.01,11.529,2.4147,54.17
19.345,1010.7,81.5,4.3162,31.048,1099.5,540.71,152.45,13.478,2.0396,52.815
17.743,1012.9,63.825,3.5604,19.814,1057.6,550.04,110.89,10.542,4.1767,65.983
11.11,1010.6,89.972,5.96,32.288,1100.1,532.04,158.86,13.808,0.64826,70.877
24.082,1008.7,84.287,4.7302,30.883,1100,543.81,149.73,13.273,1.6739,54.809
23.351,1009.3,83.973,4.617,30.909,1100.1,544.03,149.87,13.26,1.3852,55.837
9.8303,1023.1,99.207,3.4687,24.015,1072.3,550.12,130.63,11.648,0.48159,63.602
22.155,1007.6,88.33,4.2151,25.333,1090,549.98,134.19,12.03,1.3612,62.921
13.459,1004.6,97.662,4.2115,24.247,1085.6,550.3,133.74,11.828,1.6606,74.173
26.42,1004.9,89.412,4.9855,30.352,1100,546.18,145.41,13.103,1.4936,52.278
13.133,1023,38.436,3.9426,28.829,1090.2,540.73,146.71,13.057,2.4443,59.143
22.684,1014.7,45.559,3.6808,32.201,1088.5,550.18,136.28,12.29,3.0637,61.385
12.417,1014.2,84.194,3.1919,24.903,1086.8,548.45,135.81,12.044,2.78,75.646
11.455,1019.3,77.161,5.0615,32.476,1099.9,529,161.2,13.986,0.80236,67.26
24.067,1009.4,84.181,4.4254,29.931,1099.9,545.17,147.61,13.161,1.3477,52.666
32.148,1005.1,56.25,4.3912,26.109,1082.8,549.87,128.94,11.993,1.9452,53.305
23.122,1011.9,94.036,4.2459,25.139,1089.8,550.41,133.19,12.062,1.7948,58.615
12.758,1008.7,100.14,2.7074,18.676,1048.2,549.08,106.5,10.169,3.4878,64.485
13.163,1013.5,84.844,3.3336,25.084,1088.4,549.1,135.91,11.981,2.7306,79.306
15.612,1014.3,96.639,4.1901,32.033,1099.8,534.14,154.12,13.578,1.6923,76.631
20.024,1011.9,99.036,3.5634,22.08,1061.3,550.04,117.01,11.045,4.2338,47.905
14.896,1014,90.636,3.2132,24.909,1086.5,549.45,133.76,12.015,1.8373,69.247
22.684,1014,62.408,3.8718,22.315,1072,550.09,120.09,11.237,3.2535,63.273
9.0844,1027.5,80.66,5.7846,33.807,1099.8,526.34,162.95,14.09,0.22763,64.073
12.401,1011.3,91.01,4.214,19.256,1050.5,547.63,110.47,10.377,5.7755,83.275
23.962,1006.1,90.53,3.8212,25.154,1088.7,550.1,132.57,12.049,0.58673,56.215
29.04,1009.9,70.797,4.0536,24.165,1073.2,550.02,122.53,11.521,2.5331,50.164
14.425,1001.1,87.608,3.6695,25.6,1078.6,550.18,134.63,11.979,0.84044,62.555
17.553,1023.7,77.19,5.3373,31.535,1099.9,533.38,153.32,13.708,1.3123,63.468
